-inf	0.0000000000	1.0000000000
0.005256	0.0000000000	0.9996296296
0.011253	0.0000000000	0.8496296296
0.011253	0.0000012387	0.8496296296
0.011396	0.0000012387	0.8340740741
0.011402	0.0000024774	0.8340740741
0.011429	0.0000024774	0.8303703704
0.011435	0.0000037161	0.8303703704
0.011466	0.0000037161	0.8259259259
0.011467	0.0000049548	0.8259259259
0.011472	0.0000049548	0.8255555556
0.011479	0.0000061935	0.8255555556
0.011491	0.0000061935	0.8244444444
0.011492	0.0000074322	0.8244444444
0.011512	0.0000074322	0.8218518519
0.011513	0.0000086709	0.8218518519
0.011520	0.0000086709	0.8207407407
0.011526	0.0000123870	0.8207407407
0.011526	0.0000123870	0.8203703704
0.011536	0.0000148644	0.8203703704
0.011552	0.0000148644	0.8177777778
0.011553	0.0000161031	0.8177777778
0.011554	0.0000161031	0.8174074074
0.011560	0.0000173418	0.8174074074
0.011568	0.0000173418	0.8155555556
0.011569	0.0000185805	0.8155555556
0.011570	0.0000185805	0.8148148148
0.011575	0.0000198192	0.8148148148
0.011576	0.0000198192	0.8144444444
0.011578	0.0000210578	0.8144444444
0.011590	0.0000210578	0.8125925926
0.011592	0.0000222965	0.8125925926
0.011601	0.0000222965	0.8118518519
0.011606	0.0000247739	0.8118518519
0.011607	0.0000247739	0.8111111111
0.011608	0.0000260126	0.8111111111
0.011610	0.0000260126	0.8100000000
0.011613	0.0000284900	0.8100000000
0.011614	0.0000284900	0.8092592593
0.011621	0.0000322061	0.8092592593
0.011623	0.0000322061	0.8085185185
0.011628	0.0000334448	0.8085185185
0.011630	0.0000334448	0.8081481481
0.011633	0.0000346835	0.8081481481
0.011641	0.0000346835	0.8077777778
0.011642	0.0000359222	0.8077777778
0.011648	0.0000359222	0.8070370370
0.011648	0.0000371609	0.8070370370
0.011650	0.0000371609	0.8066666667
0.011653	0.0000396383	0.8066666667
0.011655	0.0000396383	0.8059259259
0.011658	0.0000408770	0.8059259259
0.011668	0.0000408770	0.8040740741
0.011669	0.0000433544	0.8040740741
0.011673	0.0000433544	0.8033333333
0.011679	0.0000458318	0.8033333333
0.011680	0.0000458318	0.8029629630
0.011682	0.0000470705	0.8029629630
0.011686	0.0000470705	0.8018518519
0.011697	0.0000483092	0.8018518519
0.011697	0.0000483092	0.8014814815
0.011706	0.0000545027	0.8014814815
0.011706	0.0000545027	0.8011111111
0.011707	0.0000557414	0.8011111111
0.011710	0.0000557414	0.8007407407
0.011710	0.0000569801	0.8007407407
0.011710	0.0000569801	0.8003703704
0.011713	0.0000594575	0.8003703704
0.011714	0.0000594575	0.8000000000
0.011715	0.0000606961	0.8000000000
0.011717	0.0000606961	0.7988888889
0.011719	0.0000631735	0.7988888889
0.011720	0.0000631735	0.7985185185
0.011725	0.0000656509	0.7985185185
0.011735	0.0000656509	0.7966666667
0.011737	0.0000681283	0.7966666667
0.011738	0.0000681283	0.7962962963
0.011745	0.0000718444	0.7962962963
0.011750	0.0000718444	0.7948148148
0.011762	0.0000792766	0.7948148148
0.011763	0.0000792766	0.7940740741
0.011764	0.0000805153	0.7940740741
0.011765	0.0000805153	0.7937037037
0.011768	0.0000829927	0.7937037037
0.011772	0.0000829927	0.7929629630
0.011776	0.0000867088	0.7929629630
